run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,created_at,date,time,timestamp
continuous_simulation_20251009_095122_initial,4,12626.05,0.25,0.8,1.0,3.23,2025-01-01,2025-01-01,00:00:00,569
continuous_simulation_20251009_095122_initial,4,13125.47,0.2,0.8,1.0,3.21,2025-01-01,2025-01-01,00:00:00,570
continuous_simulation_20251009_095122_initial,6,104.96,0.0,0.8,0.5555555555555556,3.31,2025-01-01,2025-01-01,00:00:00,571
continuous_simulation_20251009_095122_initial,6,11758.92,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,572
continuous_simulation_20251009_095122_initial,6,12255.0,0.0,0.8,1.0,3.25,2025-01-01,2025-01-01,00:00:00,573
continuous_simulation_20251009_095122_initial,6,12626.05,0.2,0.8,1.0,3.21,2025-01-01,2025-01-01,00:00:00,574
continuous_simulation_20251009_095122_initial,6,13125.47,0.3333333333333333,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,575
continuous_simulation_20251009_095122_initial,8,11758.92,0.0,0.8,0.7777777777777778,3.31,2025-01-01,2025-01-01,00:00:00,576
continuous_simulation_20251009_095122_initial,8,12255.0,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,577
continuous_simulation_20251009_095122_initial,8,12626.05,0.0,0.8,1.0,3.25,2025-01-01,2025-01-01,00:00:00,578
continuous_simulation_20251009_095122_initial,8,13125.47,0.2,0.8,1.0,3.21,2025-01-01,2025-01-01,00:00:00,579
continuous_simulation_20251009_095122_initial,8,13319.67,0.3333333333333333,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,580
continuous_simulation_20251009_095122_initial,9,11758.92,0.0,0.8,0.7777777777777778,3.31,2025-01-01,2025-01-01,00:00:00,581
continuous_simulation_20251009_095122_initial,9,12255.0,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,582
continuous_simulation_20251009_095122_initial,9,12626.05,0.0,0.8,1.0,3.25,2025-01-01,2025-01-01,00:00:00,583
continuous_simulation_20251009_095122_initial,9,13125.47,0.2,0.8,1.0,3.21,2025-01-01,2025-01-01,00:00:00,584
continuous_simulation_20251009_095122_initial,9,13319.67,0.3333333333333333,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,585
continuous_simulation_20251009_095623,1,3850.0,0.0,0.7,0.0,3.33,2025-01-01,2025-01-01,00:00:00,586
continuous_simulation_20251009_095623,1,11758.32,0.0,0.8,0.8888888888888888,3.28,2025-01-01,2025-01-01,00:00:00,587
continuous_simulation_20251009_095623,1,12417.71,0.0,0.8,1.0,3.24,2025-01-01,2025-01-01,00:00:00,588
continuous_simulation_20251009_095623,1,12897.71,0.0,0.85,1.0,3.2,2025-01-01,2025-01-01,00:00:00,589
continuous_simulation_20251009_095623,1,13410.56,0.3333333333333333,0.8,1.0,3.17,2025-01-01,2025-01-01,00:00:00,590
continuous_simulation_20251009_095623,2,11758.32,0.0,0.8,0.8888888888888888,3.28,2025-01-01,2025-01-01,00:00:00,591
continuous_simulation_20251009_095623,2,12417.71,0.0,0.8,1.0,3.24,2025-01-01,2025-01-01,00:00:00,592
continuous_simulation_20251009_095623,2,12897.71,0.0,0.85,1.0,3.2,2025-01-01,2025-01-01,00:00:00,593
continuous_simulation_20251009_095623,2,13410.56,0.3333333333333333,0.8,1.0,3.17,2025-01-01,2025-01-01,00:00:00,594
continuous_simulation_20251009_095623,3,3850.0,0.0,0.8,0.3333333333333333,3.33,2025-01-01,2025-01-01,00:00:00,595
continuous_simulation_20251009_095623,3,11758.32,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,596
continuous_simulation_20251009_095623,3,12417.71,0.0,0.85,1.0,3.24,2025-01-01,2025-01-01,00:00:00,597
continuous_simulation_20251009_095623,3,12897.71,0.0,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,598
continuous_simulation_20251009_095623,3,13410.56,0.3333333333333333,0.85,1.0,3.17,2025-01-01,2025-01-01,00:00:00,599
continuous_simulation_20251009_095623,4,3698.33,0.0,0.8,0.3333333333333333,3.33,2025-01-01,2025-01-01,00:00:00,600
continuous_simulation_20251009_095623,4,11758.32,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,601
continuous_simulation_20251009_095623,4,12417.71,0.0,0.85,1.0,3.24,2025-01-01,2025-01-01,00:00:00,602
continuous_simulation_20251009_095623,4,12897.71,0.0,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,603
continuous_simulation_20251009_095623,4,13410.56,0.3333333333333333,0.85,1.0,3.17,2025-01-01,2025-01-01,00:00:00,604
continuous_simulation_20251009_095623,5,3698.33,0.0,0.8,0.3333333333333333,3.33,2025-01-01,2025-01-01,00:00:00,605
continuous_simulation_20251009_095623,5,11758.32,0.0,0.8,1.0,3.28,2025-01-01,2025-01-01,00:00:00,606
continuous_simulation_20251009_095623,5,12417.71,0.0,0.85,1.0,3.24,2025-01-01,2025-01-01,00:00:00,607
continuous_simulation_20251009_095623,5,12897.71,0.0,0.8,1.0,3.2,2025-01-01,2025-01-01,00:00:00,608
continuous_simulation_20251009_095623,5,13410.56,0.3333333333333333,0.85,1.0,3.17,2025-01-01,2025-01-01,00:00:00,609
continuous_simulation_20251009_095623,6,93.52,0.0,0.8,0.6666666666666666,3.31,2025-01-01,2025-01-01,00:00:00,610
